1547
sign	1521
silver	604
single	1202
sister	1007
sit	605
site	1008
situat	1009
six	1010
size	606
slack	1011
slicker	1012
slip	1013
smith	1522
snake	1203
sometim	607
soon	1204
sound	1355
source	1523
southbound	231
soviet	1524
soybean	1014
space	1205
span	1525
spark	729
spe	608
speak	1526
special	609
specialist	1015
specif	610
specifi	1016
spectat	730
specul	1017
spend	611
spokesman	108
sport	612
spring	1206
sprint	613
sprinter	614
square	1018
st	203
stabil	109
stadium	1207
staf	371
stai	615
stake	1019
stand	616
stanford	1208
star	1527
start	617
station	618
steeplechas	619
step	1020
stephen	1356
steve	620
stock	1021
stockton	775
stop	731
stori	110
storm	1357
straight	621
strauss	1209
streak	776
stress	372
strike	1022
struggl	373
studi	1358
stuf	1023
su	374
subcontract	1359
subject	111
subsidiari	112
success	791
sud	1210
sue	1360
suit	375
summer	622
sunkist	623
super	1211
superior	376
superson	113
supervisor	1361
supper	160
support	377
suppos	624
surgeon	1528
surpass	732
surviv	1212
swap	1024
swarm	777
swede	1529
sweden	1530
swedish	1531
sweep	1362
sweepstak	1532
switzerland	625
system	114
table	626
take	1025
talk	1363
tap	1364
tape	1365
team	627
tech	115
telegraph	1213
tell	1026
terri	792
testifi	378
testimoni	379
tex	628
text	116
theatre	1214
third	629
thoma	380
thompson	1027
thousand	1028
threate	1366
threaten	381
throw	382
thursdai	117
tick	1029
ticket	161
tiger	778
time	383
timeout	733
tir	630
title	631
tokyo	204
told	1367
toll	384
tom	734
toma	1533
toni	735
tonie	632
tonight	633
tonya	634
top	205
toronto	1534
toss	1030
total	385
tough	779
tour	1215
track	635
trad	1031
trade	1032
trader	1033
traffic	386
train	387
transact	1034
transfer	736
trash	1368
travel	636
treasuri	1035
treatment	1369
tremend	737
trend	1036
tri	232
trial	388
trip	1535
true	1216
try	389
tuesdai	233
tumble	1536
tun	1537
turner	390
turnov	738
tv	1538
type	118
uc	780
ucla	637
unannounc	1217
uncertainti	119
undef	781
understand	1037
unfairli	391
unfett	1038
unidentifi	1039
union	1370
unit	120
unknowingli	1371
unlaw	392
unlicens	1218
unlik	1040
unprofit	1041
